x_local_mm,N_kN,M_kNmm,V_kN,M_kNm
0.0000000000e+00,7.4993693190e+01,5.7516240254e+00,2.1914577113e-03,5.7516240254e-03
5.1020408163e+01,7.4993693190e+01,5.6398149585e+00,2.1914577113e-03,5.6398149585e-03
1.0204081633e+02,7.4993693190e+01,5.5280058916e+00,2.1914577113e-03,5.5280058916e-03
1.5306122449e+02,7.4993693190e+01,5.4161968247e+00,2.1914577113e-03,5.4161968247e-03
2.0408163265e+02,7.4993693190e+01,5.3043877578e+00,2.1914577113e-03,5.3043877578e-03
2.5510204082e+02,7.4993693190e+01,5.1925786908e+00,2.1914577113e-03,5.1925786908e-03
3.0612244898e+02,7.4993693190e+01,5.0807696239e+00,2.1914577113e-03,5.0807696239e-03
3.5714285714e+02,7.4993693190e+01,4.9689605570e+00,2.1914577113e-03,4.9689605570e-03
4.0816326531e+02,7.4993693190e+01,4.8571514901e+00,2.1914577113e-03,4.8571514901e-03
4.5918367347e+02,7.4993693190e+01,4.7453424232e+00,2.1914577113e-03,4.7453424232e-03
5.1020408163e+02,7.4993693190e+01,4.6335333563e+00,2.1914577113e-03,4.6335333563e-03
5.6122448980e+02,7.4993693190e+01,4.5217242894e+00,2.1914577113e-03,4.5217242894e-03
6.1224489796e+02,7.4993693190e+01,4.4099152225e+00,2.1914577113e-03,4.4099152225e-03
6.6326530612e+02,7.4993693190e+01,4.2981061556e+00,2.1914577113e-03,4.2981061556e-03
7.1428571429e+02,7.4993693190e+01,4.1862970887e+00,2.1914577113e-03,4.1862970887e-03
7.6530612245e+02,7.4993693190e+01,4.0744880218e+00,2.1914577113e-03,4.0744880218e-03
8.1632653061e+02,7.4993693190e+01,3.9626789549e+00,2.1914577113e-03,3.9626789549e-03
8.6734693878e+02,7.4993693190e+01,3.8508698880e+00,2.1914577113e-03,3.8508698880e-03
9.1836734694e+02,7.4993693190e+01,3.7390608211e+00,2.1914577113e-03,3.7390608211e-03
9.6938775510e+02,7.4993693190e+01,3.6272517542e+00,2.1914577113e-03,3.6272517542e-03
1.0204081633e+03,7.4993693190e+01,3.5154426873e+00,2.1914577113e-03,3.5154426873e-03
1.0714285714e+03,7.4993693190e+01,3.4036336204e+00,2.1914577113e-03,3.4036336204e-03
1.1224489796e+03,7.4993693190e+01,3.2918245535e+00,2.1914577113e-03,3.2918245535e-03
1.1734693878e+03,7.4993693190e+01,3.1800154866e+00,2.1914577113e-03,3.1800154866e-03
1.2244897959e+03,7.4993693190e+01,3.0682064197e+00,2.1914577113e-03,3.0682064197e-03
1.2755102041e+03,7.4993693190e+01,2.9563973528e+00,2.1914577113e-03,2.9563973528e-03
1.3265306122e+03,7.4993693190e+01,2.8445882859e+00,2.1914577113e-03,2.8445882859e-03
1.3775510204e+03,7.4993693190e+01,2.7327792190e+00,2.1914577113e-03,2.7327792190e-03
1.4285714286e+03,7.4993693190e+01,2.6209701521e+00,2.1914577113e-03,2.6209701521e-03
1.4795918367e+03,7.4993693190e+01,2.5091610852e+00,2.1914577113e-03,2.5091610852e-03
1.5306122449e+03,7.4993693190e+01,2.3973520183e+00,2.1914577113e-03,2.3973520183e-03
1.5816326531e+03,7.4993693190e+01,2.2855429514e+00,2.1914577113e-03,2.2855429514e-03
1.6326530612e+03,7.4993693190e+01,2.1737338845e+00,2.1914577113e-03,2.1737338845e-03
1.6836734694e+03,7.4993693190e+01,2.0619248176e+00,2.1914577113e-03,2.0619248176e-03
1.7346938776e+03,7.4993693190e+01,1.9501157507e+00,2.1914577113e-03,1.9501157507e-03
1.7857142857e+03,7.4993693190e+01,1.8383066838e+00,2.1914577113e-03,1.8383066838e-03
1.8367346939e+03,7.4993693190e+01,1.7264976169e+00,2.1914577113e-03,1.7264976169e-03
1.8877551020e+03,7.4993693190e+01,1.6146885500e+00,2.1914577113e-03,1.6146885500e-03
1.9387755102e+03,7.4993693190e+01,1.5028794831e+00,2.1914577113e-03,1.5028794831e-03
1.9897959184e+03,7.4993693190e+01,1.3910704161e+00,2.1914577113e-03,1.3910704161e-03
2.0408163265e+03,7.4993693190e+01,1.2792613492e+00,2.1914577113e-03,1.2792613492e-03
2.0918367347e+03,7.4993693190e+01,1.1674522823e+00,2.1914577113e-03,1.1674522823e-03
2.1428571429e+03,7.4993693190e+01,1.0556432154e+00,2.1914577113e-03,1.0556432154e-03
2.1938775510e+03,7.4993693190e+01,9.4383414854e-01,2.1914577113e-03,9.4383414854e-04
2.2448979592e+03,7.4993693190e+01,8.3202508163e-01,2.1914577113e-03,8.3202508163e-04
2.2959183673e+03,7.4993693190e+01,7.2021601473e-01,2.1914577113e-03,7.2021601473e-04
2.3469387755e+03,7.4993693190e+01,6.0840694783e-01,2.1914577113e-03,6.0840694783e-04
2.3979591837e+03,7.4993693190e+01,4.9659788092e-01,2.1914577113e-03,4.9659788092e-04
2.4489795918e+03,7.4993693190e+01,3.8478881402e-01,2.1914577113e-03,3.8478881402e-04
2.5000000000e+03,7.4993693190e+01,2.7297974712e-01,2.1914577113e-03,2.7297974712e-04
