x_local_mm,N_kN,V_kN,M_kNmm
0.0000000000e+00,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
6.1224489796e+01,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
1.2244897959e+02,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
1.8367346939e+02,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
2.4489795918e+02,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
3.0612244898e+02,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
3.6734693878e+02,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
4.2857142857e+02,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
4.8979591837e+02,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
5.5102040816e+02,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
6.1224489796e+02,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
6.7346938776e+02,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
7.3469387755e+02,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
7.9591836735e+02,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
8.5714285714e+02,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
9.1836734694e+02,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
9.7959183673e+02,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
1.0408163265e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
1.1020408163e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
1.1632653061e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
1.2244897959e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
1.2857142857e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
1.3469387755e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
1.4081632653e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
1.4693877551e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
1.5306122449e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
1.5918367347e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
1.6530612245e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
1.7142857143e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
1.7755102041e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
1.8367346939e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
1.8979591837e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
1.9591836735e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
2.0204081633e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
2.0816326531e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
2.1428571429e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
2.2040816327e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
2.2653061224e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
2.3265306122e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
2.3877551020e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
2.4489795918e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
2.5102040816e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
2.5714285714e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
2.6326530612e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
2.6938775510e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
2.7551020408e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
2.8163265306e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
2.8775510204e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
2.9387755102e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
3.0000000000e+03,4.7997472504e+01,-1.0526559048e-18,2.2541923053e+00
