caso,nel,valor_mef_m,valor_analitico_m,valor_mef_mm,valor_analitico_mm,erro_percentual
simples_pontual,1,-9.527439024390e-05,-1.270325203252e-04,-9.527439024390e-02,-1.270325203252e-01,2.500000000000e+01
simples_pontual,2,-1.270325203252e-04,-1.270325203252e-04,-1.270325203252e-01,-1.270325203252e-01,2.133709875451e-14
simples_pontual,4,-1.270325203252e-04,-1.270325203252e-04,-1.270325203252e-01,-1.270325203252e-01,1.493596912816e-13
simples_pontual,8,-1.270325203252e-04,-1.270325203252e-04,-1.270325203252e-01,-1.270325203252e-01,3.712655183286e-12
simples_pontual,16,-1.270325203252e-04,-1.270325203252e-04,-1.270325203252e-01,-1.270325203252e-01,2.731148640578e-12
simples_pontual,32,-1.270325203258e-04,-1.270325203252e-04,-1.270325203258e-01,-1.270325203252e-01,4.571260037167e-10
balanco_uniforme,1,-7.621951219512e-04,-7.621951219512e-04,-7.621951219512e-01,-7.621951219512e-01,1.422473250301e-14
balanco_uniforme,2,-7.621951219512e-04,-7.621951219512e-04,-7.621951219512e-01,-7.621951219512e-01,0.000000000000e+00
balanco_uniforme,4,-7.621951219512e-04,-7.621951219512e-04,-7.621951219512e-01,-7.621951219512e-01,5.405398351144e-13
balanco_uniforme,8,-7.621951219512e-04,-7.621951219512e-04,-7.621951219512e-01,-7.621951219512e-01,3.527733660746e-12
balanco_uniforme,16,-7.621951219504e-04,-7.621951219512e-04,-7.621951219504e-01,-7.621951219512e-01,1.013369943514e-10
balanco_uniforme,32,-7.621951219951e-04,-7.621951219512e-04,-7.621951219951e-01,-7.621951219512e-01,5.752396475822e-09
balanco_linear,1,-5.589430894309e-04,-5.589430894309e-04,-5.589430894309e-01,-5.589430894309e-01,0.000000000000e+00
balanco_linear,2,-5.589430894309e-04,-5.589430894309e-04,-5.589430894309e-01,-5.589430894309e-01,0.000000000000e+00
balanco_linear,4,-5.589430894309e-04,-5.589430894309e-04,-5.589430894309e-01,-5.589430894309e-01,5.431261501149e-13
balanco_linear,8,-5.589430894309e-04,-5.589430894309e-04,-5.589430894309e-01,-5.589430894309e-01,3.394538438218e-12
balanco_linear,16,-5.589430894303e-04,-5.589430894309e-04,-5.589430894303e-01,-5.589430894309e-01,1.026896370967e-10
balanco_linear,32,-5.589430894629e-04,-5.589430894309e-04,-5.589430894629e-01,-5.589430894309e-01,5.730524009863e-09
