x_local_m,N_N,M_Nm,V_N,N_kN,M_kNm,V_kN
0.0000000000e+00,1.3379633880e+04,-1.0325503301e+01,-5.0841554815e+02,1.3379633880e+01,-1.0325503301e-02,-5.0841554815e-01
1.4430750636e-02,1.3379633880e+04,-2.9886853056e+00,-5.0841554815e+02,1.3379633880e+01,-2.9886853056e-03,-5.0841554815e-01
2.8861501273e-02,1.3379633880e+04,4.3481326895e+00,-5.0841554815e+02,1.3379633880e+01,4.3481326895e-03,-5.0841554815e-01
4.3292251909e-02,1.3379633880e+04,1.1684950684e+01,-5.0841554815e+02,1.3379633880e+01,1.1684950684e-02,-5.0841554815e-01
5.7723002546e-02,1.3379633880e+04,1.9021768680e+01,-5.0841554815e+02,1.3379633880e+01,1.9021768680e-02,-5.0841554815e-01
7.2153753182e-02,1.3379633880e+04,2.6358586675e+01,-5.0841554815e+02,1.3379633880e+01,2.6358586675e-02,-5.0841554815e-01
8.6584503819e-02,1.3379633880e+04,3.3695404670e+01,-5.0841554815e+02,1.3379633880e+01,3.3695404670e-02,-5.0841554815e-01
1.0101525446e-01,1.3379633880e+04,4.1032222665e+01,-5.0841554815e+02,1.3379633880e+01,4.1032222665e-02,-5.0841554815e-01
1.1544600509e-01,1.3379633880e+04,4.8369040660e+01,-5.0841554815e+02,1.3379633880e+01,4.8369040660e-02,-5.0841554815e-01
1.2987675573e-01,1.3379633880e+04,5.5705858655e+01,-5.0841554815e+02,1.3379633880e+01,5.5705858655e-02,-5.0841554815e-01
1.4430750636e-01,1.3379633880e+04,6.3042676650e+01,-5.0841554815e+02,1.3379633880e+01,6.3042676650e-02,-5.0841554815e-01
1.5873825700e-01,1.3379633880e+04,7.0379494645e+01,-5.0841554815e+02,1.3379633880e+01,7.0379494645e-02,-5.0841554815e-01
1.7316900764e-01,1.3379633880e+04,7.7716312640e+01,-5.0841554815e+02,1.3379633880e+01,7.7716312640e-02,-5.0841554815e-01
1.8759975827e-01,1.3379633880e+04,8.5053130635e+01,-5.0841554815e+02,1.3379633880e+01,8.5053130635e-02,-5.0841554815e-01
2.0203050891e-01,1.3379633880e+04,9.2389948630e+01,-5.0841554815e+02,1.3379633880e+01,9.2389948630e-02,-5.0841554815e-01
2.1646125955e-01,1.3379633880e+04,9.9726766625e+01,-5.0841554815e+02,1.3379633880e+01,9.9726766625e-02,-5.0841554815e-01
2.3089201018e-01,1.3379633880e+04,1.0706358462e+02,-5.0841554815e+02,1.3379633880e+01,1.0706358462e-01,-5.0841554815e-01
2.4532276082e-01,1.3379633880e+04,1.1440040261e+02,-5.0841554815e+02,1.3379633880e+01,1.1440040261e-01,-5.0841554815e-01
2.5975351146e-01,1.3379633880e+04,1.2173722061e+02,-5.0841554815e+02,1.3379633880e+01,1.2173722061e-01,-5.0841554815e-01
2.7418426209e-01,1.3379633880e+04,1.2907403860e+02,-5.0841554815e+02,1.3379633880e+01,1.2907403860e-01,-5.0841554815e-01
2.8861501273e-01,1.3379633880e+04,1.3641085660e+02,-5.0841554815e+02,1.3379633880e+01,1.3641085660e-01,-5.0841554815e-01
3.0304576337e-01,1.3379633880e+04,1.4374767459e+02,-5.0841554815e+02,1.3379633880e+01,1.4374767459e-01,-5.0841554815e-01
3.1747651400e-01,1.3379633880e+04,1.5108449259e+02,-5.0841554815e+02,1.3379633880e+01,1.5108449259e-01,-5.0841554815e-01
3.3190726464e-01,1.3379633880e+04,1.5842131058e+02,-5.0841554815e+02,1.3379633880e+01,1.5842131058e-01,-5.0841554815e-01
3.4633801528e-01,1.3379633880e+04,1.6575812858e+02,-5.0841554815e+02,1.3379633880e+01,1.6575812858e-01,-5.0841554815e-01
3.6076876591e-01,1.3379633880e+04,1.7309494657e+02,-5.0841554815e+02,1.3379633880e+01,1.7309494657e-01,-5.0841554815e-01
3.7519951655e-01,1.3379633880e+04,1.8043176457e+02,-5.0841554815e+02,1.3379633880e+01,1.8043176457e-01,-5.0841554815e-01
3.8963026718e-01,1.3379633880e+04,1.8776858257e+02,-5.0841554815e+02,1.3379633880e+01,1.8776858257e-01,-5.0841554815e-01
4.0406101782e-01,1.3379633880e+04,1.9510540056e+02,-5.0841554815e+02,1.3379633880e+01,1.9510540056e-01,-5.0841554815e-01
4.1849176846e-01,1.3379633880e+04,2.0244221856e+02,-5.0841554815e+02,1.3379633880e+01,2.0244221856e-01,-5.0841554815e-01
4.3292251909e-01,1.3379633880e+04,2.0977903655e+02,-5.0841554815e+02,1.3379633880e+01,2.0977903655e-01,-5.0841554815e-01
4.4735326973e-01,1.3379633880e+04,2.1711585455e+02,-5.0841554815e+02,1.3379633880e+01,2.1711585455e-01,-5.0841554815e-01
4.6178402037e-01,1.3379633880e+04,2.2445267254e+02,-5.0841554815e+02,1.3379633880e+01,2.2445267254e-01,-5.0841554815e-01
4.7621477100e-01,1.3379633880e+04,2.3178949054e+02,-5.0841554815e+02,1.3379633880e+01,2.3178949054e-01,-5.0841554815e-01
4.9064552164e-01,1.3379633880e+04,2.3912630853e+02,-5.0841554815e+02,1.3379633880e+01,2.3912630853e-01,-5.0841554815e-01
5.0507627228e-01,1.3379633880e+04,2.4646312653e+02,-5.0841554815e+02,1.3379633880e+01,2.4646312653e-01,-5.0841554815e-01
5.1950702291e-01,1.3379633880e+04,2.5379994452e+02,-5.0841554815e+02,1.3379633880e+01,2.5379994452e-01,-5.0841554815e-01
5.3393777355e-01,1.3379633880e+04,2.6113676252e+02,-5.0841554815e+02,1.3379633880e+01,2.6113676252e-01,-5.0841554815e-01
5.4836852419e-01,1.3379633880e+04,2.6847358051e+02,-5.0841554815e+02,1.3379633880e+01,2.6847358051e-01,-5.0841554815e-01
